exp_name,exp_stage,subjectID,databaseID,trial_type,trial_index,time_elapsed,internal_node_id,rt,stimulus,response,response_string,response_times,question_order,prolificID,start_time,date
all,fullscreen,1n26ORHxdTOapP7DbOqDbWy5FUy2,1n26ORHxdTOapP7DbOqDbWy5FUy2,lmdlab-fullscreen,0,4434,0.0-0.0,,,,,,,6545ed716c9ba63f28e9cd34,12:15:46 PM,1/15/2024
delaylearn,instructions,1n26ORHxdTOapP7DbOqDbWy5FUy2,1n26ORHxdTOapP7DbOqDbWy5FUy2,lmdlab-rest-trial,1,28819,0.0-1.0,23873.200000286102,"<p style='font-size: 3.4rem; line-height: 1.4'><br><br><br><b>Welcome to the experiment!</b><br><br><br>Today, there are two sets of self-report questionnaires,<br>with a number memory task in-between.<br><br>From participants in this study, we will be opening slots for a follow-up study.<br><br>In the follow-up, starting tomorrow, you can join a<br>study where you will win bonus money based on how well you<br>learn to choose lucky pictures.<br><br>Participants in the follow-up will earn a bonus of £3,<br>plus up to another £6 based on performance in that session.<br><br></p><br><br><br><br>",0.0,,,,6545ed716c9ba63f28e9cd34,12:15:46 PM,1/15/2024
delaylearn,survey,1n26ORHxdTOapP7DbOqDbWy5FUy2,1n26ORHxdTOapP7DbOqDbWy5FUy2,lmdlab-html-vas-response,2,36450,0.0-2.0,6086.0,How <b>happy</b> are you right now?,1.0,,,,6545ed716c9ba63f28e9cd34,12:15:46 PM,1/15/2024
delaylearn,instructions,1n26ORHxdTOapP7DbOqDbWy5FUy2,1n26ORHxdTOapP7DbOqDbWy5FUy2,lmdlab-rest-trial,3,49415,0.0-3.0,12447.800000190735,"<p style='font-size: 3.4rem; line-height: 1.4'><br><br><br>First, you will complete a first set of self-report questionnaires.<br><br><br><br>These answers are <b>extremely</b> important for our research project.<br><br><br><b>It will be very very helpful if you can focus on these questions.</b><br><br><br>This part should take less than 6 minutes.<br><br></p><br><br><br><br>",0.0,,,,6545ed716c9ba63f28e9cd34,12:15:46 PM,1/15/2024
survey,introduction,1n26ORHxdTOapP7DbOqDbWy5FUy2,,html-button-response,4,56806,0.0-4.0-0.0-0.0,7388.400000095367,"<p style=""font-size: 3rem; line-height: 1.2"">This part involves the completion of several questionnaires<br> about mood and personality.<br><br><br>Please read the instructions for <b>each set of questions</b>,<br>and then <b>carefully</b> answer each question.<br><br><br>Please note that the <b>instructions and options change</b><br>for different questionnaries.<br><br><br>Also, some questions check whether you are paying attention.<br><br><br><br>This part has <b>five</b> short questionnaires.<br><br><br><br><b>Thank you for doing your best!</b><br><br><br>",0.0,,,,6545ed716c9ba63f28e9cd34,12:15:46 PM,1/15/2024
survey,STAI,1n26ORHxdTOapP7DbOqDbWy5FUy2,,html-button-response,5,68886,0.0-4.0-1.0-0.0-0.0,12076.900000095367,"<p style=""font-size: 2.5rem"">In the next short questionnaire, the instructions are:<br><br><br></p><p style=""font-size: 3rem; line-height: 1.3; color: #000080; max-width: 60ch""> A number of statements which people have used to describe themselves are
given below. Read each statement and then rate according to the labels to
indicate <b>how you generally feel</b>.<br>
There are no right or wrong answers. Do not spend too much time on any one
statement but give the answer which seems to describe how you generally feel.</p><br><br><br><p style=""font-size: 2.5rem""> Thank you for your continued attention and focus!</p><br><br><br>",0.0,,,,6545ed716c9ba63f28e9cd34,12:15:46 PM,1/15/2024
survey,STAI,1n26ORHxdTOapP7DbOqDbWy5FUy2,,lmdlab-survey-likert,6,215885,0.0-4.0-1.0-0.0-1.0,,,,"{""STAI1"":1,""STAI3"":1,""STAI4"":1,""STAI6"":2,""STAI7"":2,""STAI8"":1,""STAI9"":2,""STAI10"":1,""STAI11"":2,""STAI12"":2,""STAI13"":1,""STAI14"":1,""Catch"":0,""STAI15"":1,""STAI16"":2,""STAI17"":3,""STAI18"":1,""STAI19"":1,""STAI20"":2,""BDI5"":1,""LOTR1"":1,""RRQ3"":0}","{""trialStart"":175629.5,""STAI1"":11980.099999904633,""STAI3"":18084,""STAI4"":23563.800000190735,""STAI6"":29795.900000095367,""STAI7"":34412.09999990463,""STAI8"":47643.90000009537,""STAI9"":53547.800000190735,""STAI10"":60539.90000009537,""STAI11"":63355.800000190735,""STAI12"":66748,""STAI13"":71203.90000009537,""STAI14"":76651.80000019073,""Catch"":79860.09999990463,""STAI15"":86531.80000019073,""STAI16"":91891.80000019073,""STAI17"":96323.80000019073,""STAI18"":111883.7000002861,""STAI19"":113883.80000019073,""STAI20"":123635.7000002861,""BDI5"":129723.80000019073,""LOTR1"":136347.80000019073,""RRQ3"":144971.5}","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21]",6545ed716c9ba63f28e9cd34,12:15:46 PM,1/15/2024
survey,STICSA,1n26ORHxdTOapP7DbOqDbWy5FUy2,,html-button-response,7,221191,0.0-4.0-1.0-1.0-0.0,5302.400000095367,"<p style=""font-size: 2.5rem"">In the next short questionnaire, the instructions are:<br><br><br></p><p style=""font-size: 3rem; line-height: 1.3; color: #000080; max-width: 60ch""> You will see a list of statements which can be used to describe how people feel.
Below each statement are four options which indicate how often each statement
is true of you. Please read each statement carefully and select the option which best indicates
how often, <b>in general</b>, the statement is true of you.</p><br><br><br><p style=""font-size: 2.5rem""> Thank you for your continued attention and focus!</p><br><br><br>",0.0,,,,6545ed716c9ba63f28e9cd34,12:15:46 PM,1/15/2024
survey,STICSA,1n26ORHxdTOapP7DbOqDbWy5FUy2,,lmdlab-survey-likert,8,305699,0.0-4.0-1.0-1.0-1.0,,,,"{""STICSA2"":2,""STICSA6"":1,""STICSA7"":1,""STICSA8"":1,""STICSA12"":0,""STICSA14"":0,""Catch"":3,""STICSA15"":0,""STICSA18"":1,""STICSA20"":0,""STICSA21"":1}","{""trialStart"":327931.40000009537,""STICSA2"":10173.900000095367,""STICSA6"":13205.900000095367,""STICSA7"":23421.900000095367,""STICSA8"":28030,""STICSA12"":32349.900000095367,""STICSA14"":40238,""Catch"":43829.90000009537,""STICSA15"":56334,""STICSA18"":60214.199999809265,""STICSA20"":67582.09999990463,""STICSA21"":81568.5}","[0,1,2,3,4,5,6,7,8,9,10]",6545ed716c9ba63f28e9cd34,12:15:46 PM,1/15/2024
survey,MASQ_7,1n26ORHxdTOapP7DbOqDbWy5FUy2,,html-button-response,9,312686,0.0-4.0-1.0-2.0-0.0,6983.700000286102,"<p style=""font-size: 2.5rem"">In the next short questionnaire, the instructions are:<br><br><br></p><p style=""font-size: 3rem; line-height: 1.3; color: #000080; max-width: 60ch""> Below is a list of feelings, sensations, problems, and experiences that people sometimes have.
Read each item and then choose the response that best describes how much you have felt or
experienced things this way during the <b>past week, including today</b>.</p><br><br><br><p style=""font-size: 2.5rem""> Thank you for your continued attention and focus!</p><br><br><br>",0.0,,,,6545ed716c9ba63f28e9cd34,12:15:46 PM,1/15/2024
