rt,stimulus,response,exp_name,exp_stage,subjectID,trial_type,trial_index,time_elapsed,internal_node_id,response_string,response_times,question_order,databaseID,rest_warning,prolificID,start_time,date
3379.7000000029802,"<p style=""font-size: 2rem; line-height: 1.3"">This part involves the completion of several questionnaires<br> about mood and personality.<br><br><br>Please read the instructions for <b>each set of questions</b>,<br>and then <b>carefully</b> answer each question.<br><br><br>Please note that the <b>instructions and options change</b><br>for different questionnaries.<br><br><br><br><b>Thank you for doing your best!</b><br><br><br>",0.0,survey,introduction,53xkCfSbMjZm2NGFmclMRIda0R42,html-button-response,60,209175,0.0-26.0-0.0-0.0,,,,,,5e85f667db8aa41f74436a9f,09:17:41,26/02/2024
2138.10000000149,"<p style=""font-size: 2.0rem"">For the next short questionnaire, the instructions are:<br><br><br></p><p style=""font-size: 2.2rem; line-height: 1.3; color: #000080""> For each question, choose the answer that best describes yourthoughts, feelings, and actions during the <b>past 4 weeks</b>.</p><br><br><br><p style=""font-size: 2.0rem""> Thank you for your continued attention and focus!</p><br><br><br>",0.0,survey,AES,53xkCfSbMjZm2NGFmclMRIda0R42,html-button-response,61,211314,0.0-26.0-1.0-0.0-0.0,,,,,,5e85f667db8aa41f74436a9f,09:17:41,26/02/2024
,,,survey,AES,53xkCfSbMjZm2NGFmclMRIda0R42,lmdlab-survey-likert,62,251836,0.0-26.0-1.0-0.0-1.0,"{""AES1"":3,""AES2"":3,""AES3"":3,""AES4"":2,""AES5"":3,""AES6"":0,""AES7"":2,""AES8"":3,""AES_catch"":1,""AES9"":3,""AES10"":0,""AES11"":1,""AES12"":3,""AES13"":2,""AES14"":3,""AES15"":2,""AES16"":3,""AES17"":3,""AES18"":3}","{""trialStart"":1811377.799999997,""AES1"":3578.2000000029802,""AES2"":4454.89999999851,""AES3"":6110.30000000447,""AES4"":7472.10000000149,""AES5"":9119.30000000447,""AES6"":11084.60000000149,""AES7"":12675.60000000149,""AES8"":15956.39999999851,""AES_catch"":17965.70000000298,""AES9"":20585.30000000447,""AES10"":23445.5,""AES11"":25525.10000000149,""AES12"":28268.70000000298,""AES13"":29419.20000000298,""AES14"":31323.60000000149,""AES15"":33767.5,""AES16"":36347.20000000298,""AES17"":37557.89999999851,""AES18"":38810.20000000298}","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18]",53xkCfSbMjZm2NGFmclMRIda0R42,,5e85f667db8aa41f74436a9f,09:17:41,26/02/2024
4885.9000000059605,"<p style=""font-size: 2.0rem"">For the next short questionnaire, the instructions are:<br><br><br></p><p style=""font-size: 2.2rem; line-height: 1.3; color: #000080""> Please read each statement and decide <b>how much</b> of thetime the statement describes how you have been feelingduring the <b>past several days</b>.</p><br><br><br><p style=""font-size: 2.0rem""> Thank you for your continued attention and focus!</p><br><br><br>",0.0,survey,SDS,53xkCfSbMjZm2NGFmclMRIda0R42,html-button-response,63,256724,0.0-26.0-1.0-1.0-0.0,,,,,,5e85f667db8aa41f74436a9f,09:17:41,26/02/2024
,,,survey,SDS,53xkCfSbMjZm2NGFmclMRIda0R42,lmdlab-survey-likert,64,295060,0.0-26.0-1.0-1.0-1.0,"{""SDS2"":3,""SDS3"":2,""SDS5"":3,""SDS6"":3,""SDS7"":1,""SDS8"":2,""SDS_catch"":2,""SDS9"":1,""SDS10"":0,""SDS11"":3,""SDS12"":3,""SDS14"":3,""SDS16"":2,""SDS17"":2,""SDS18"":2,""SDS20"":3}","{""trialStart"":1856786.6000000015,""SDS2"":2561.89999999851,""SDS3"":4435.5,""SDS5"":6349.69999999553,""SDS6"":7314.0999999940395,""SDS7"":10187.19999999553,""SDS8"":13727.5,""SDS_catch"":14541.69999999553,""SDS9"":17508.69999999553,""SDS10"":20550.5,""SDS11"":23155.5,""SDS12"":27195.29999999702,""SDS14"":28098.39999999851,""SDS16"":29954.59999999404,""SDS17"":31681,""SDS18"":34201.59999999404,""SDS20"":36405}","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15]",53xkCfSbMjZm2NGFmclMRIda0R42,,5e85f667db8aa41f74436a9f,09:17:41,26/02/2024
11657.0,"<p style=""font-size: 2.5rem"">In the next short questionnaire, the instructions are:<br><br><br></p><p style=""font-size: 2.2rem; line-height: 1.3; color: #000080""> Please indicate to what extent these statements describe your responses <b>over the last two 
weeks, including today</b>.<br>
Did you <b>not</b> have this experience? No problem. Please indicate how you <u>would have responded</u>
if you had experienced the situation over the last two weeks.</b><br>
Please consider only the aspect of the situation that is described, paying particular attention to
the <u>underlined text</u>. For example, if the statement says, ""<u>I wanted</u> to meet new people,"" rate
how much you wanted or would have wanted to meet new people over the last two weeks,
assuming that the opportunity presented itself. Do not consider what the situation would have
required of you or whether it would have been possible for you to meet people.</p><br><br><br><p style=""font-size: 2.0rem""> Thank you for your continued attention and focus!</p><br><br><br>",0.0,survey,PVSS,53xkCfSbMjZm2NGFmclMRIda0R42,html-button-response,65,306720,0.0-26.0-1.0-2.0-0.0,,,,,,5e85f667db8aa41f74436a9f,09:17:41,26/02/2024
,,,survey,PVSS,53xkCfSbMjZm2NGFmclMRIda0R42,lmdlab-survey-likert,66,365295,0.0-26.0-1.0-2.0-1.0,"{""PVSS1"":6,""PVSS2"":8,""PVSS3"":7,""PVSS4"":8,""PVSS5"":8,""PVSS6"":7,""PVSS7"":8,""PVSS8"":6,""Catch"":3,""PVSS9"":8,""PVSS10"":8,""PVSS11"":8,""PVSS12"":8,""PVSS13"":8,""PVSS14"":8,""PVSS15"":8,""PVSS16"":8,""PVSS17"":8,""PVSS18"":8,""PVSS19"":6,""PVSS20"":7,""PVSS21"":5}","{""trialStart"":1906784.3999999985,""PVSS1"":5669.10000000149,""PVSS2"":7246.10000000149,""PVSS3"":8815.20000000298,""PVSS4"":10364.89999999851,""PVSS5"":13121.20000000298,""PVSS6"":17743.20000000298,""PVSS7"":19185.29999999702,""PVSS8"":20861.79999999702,""Catch"":26680.5,""PVSS9"":30032.60000000149,""PVSS10"":32899.10000000149,""PVSS11"":34538.20000000298,""PVSS12"":39883.29999999702,""PVSS13"":41524.79999999702,""PVSS14"":42636.20000000298,""PVSS15"":44185.20000000298,""PVSS16"":45738.20000000298,""PVSS17"":47771.5,""PVSS18"":51037.89999999851,""PVSS19"":52874.29999999702,""PVSS20"":54337.79999999702,""PVSS21"":56463.89999999851}","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21]",53xkCfSbMjZm2NGFmclMRIda0R42,,5e85f667db8aa41f74436a9f,09:17:41,26/02/2024
4963.69999999553,"<p style=""font-size: 2.0rem"">For the next short questionnaire, the instructions are:<br><br><br></p><p style=""font-size: 2.2rem; line-height: 1.3; color: #000080""> You will see a list of statements which can be used to describe how people feel.
Below each statement are four options which indicate how often each statement
is true of you. Please read each statement carefully and select the option which best indicates
how often, <b>in general</b>, the statement is true of you.</p><br><br><br><p style=""font-size: 2.0rem""> Thank you for your continued attention and focus!</p><br><br><br>",0.0,survey,STICSA,53xkCfSbMjZm2NGFmclMRIda0R42,html-button-response,67,370261,0.0-26.0-1.0-3.0-0.0,,,,,,5e85f667db8aa41f74436a9f,09:17:41,26/02/2024
,,,survey,STICSA,53xkCfSbMjZm2NGFmclMRIda0R42,lmdlab-survey-likert,68,388008,0.0-26.0-1.0-3.0-1.0,"{""STICSA_1"":1,""STICSA_2"":1,""STICSA_3"":0,""STICSA_4"":2,""STICSA_5"":0,""STICSA_6"":0,""STICSA_7"":3}","{""trialStart"":1970323.8999999985,""STICSA_1"":1953.5,""STICSA_2"":4850,""STICSA_3"":5591.29999999702,""STICSA_4"":7737.20000000298,""STICSA_5"":12898.89999999851,""STICSA_6"":14243.39999999851,""STICSA_7"":15525}","[0,1,2,3,4,5,6]",53xkCfSbMjZm2NGFmclMRIda0R42,,5e85f667db8aa41f74436a9f,09:17:41,26/02/2024
3212.2000000029802,"<p style=""font-size: 2.0rem"">For the next short questionnaire, the instructions are:<br><br><br></p><p style=""font-size: 2.2rem; line-height: 1.3; color: #000080""> Below is a list of feelings, sensations, problems, and experiences that people sometimes have.
Read each item and then choose the response that best describes how much you have felt or
experienced things this way during the <b>past week, including today</b>.</p><br><br><br><p style=""font-size: 2.0rem""> Thank you for your continued attention and focus!</p><br><br><br>",0.0,survey,MASQ_7,53xkCfSbMjZm2NGFmclMRIda0R42,html-button-response,69,391223,0.0-26.0-1.0-4.0-0.0,,,,,,5e85f667db8aa41f74436a9f,09:17:41,26/02/2024
