rt,stimulus,response,exp_name,exp_stage,subjectID,trial_type,trial_index,time_elapsed,internal_node_id,response_string,response_times,question_order,databaseID,rest_warning,prolificID,start_time,date
9802.0,"<p style=""font-size: 3rem; line-height: 1.3"">Great work!<br><br>The final part today involves the completion of several questionnaires.<br>There is a rest break half way through.</b><br><br><br>",0,survey,introduction,mt4s3Nr1oPdSypfLWlfTwM60BY72,html-button-response,98,772576,0.0-40.0-0.0,,,,,,5c31167d1a964b0001ffcce5,16:37:09,27/03/2024
7512.0,"<p style=""font-size: 3rem; line-height: 1.3"">Please read the instructions for <b>each set of questions</b>,<br>and then <b>carefully</b> answer each question.<br><br><br>Please note that the <b>instructions and options change</b><br>for different questionnaries.<br><br><br><br><b>Thank you for doing your best!</b><br><br><br>",0,survey,introduction,mt4s3Nr1oPdSypfLWlfTwM60BY72,html-button-response,99,780090,0.0-40.0-1.0,,,,,,5c31167d1a964b0001ffcce5,16:37:09,27/03/2024
9930.0,"<p style=""font-size: 2.0rem"">In the next short questionnaire, the instructions are:<br><br><br></p><p style=""font-size: 2.2rem; line-height: 1.3; color: #000080""> You will see a list of statements which can be used to describe how people feel.
Below each statement are four options which indicate how often each statement
is true of you. Please read each statement carefully and select the option which best indicates
how often, <b>in general</b>, the statement is true of you.</p><br><br><br><p style=""font-size: 2.0rem""> Thank you for your continued attention and focus!</p><br><br><br>",0,survey,STICSA,mt4s3Nr1oPdSypfLWlfTwM60BY72,html-button-response,100,790022,0.0-40.0-2.0-0.0-0.0,,,,,,5c31167d1a964b0001ffcce5,16:37:09,27/03/2024
,,,survey,STICSA,mt4s3Nr1oPdSypfLWlfTwM60BY72,lmdlab-survey-likert,101,841106,0.0-40.0-2.0-0.0-1.0,"{""STICSA2"":0,""STICSA6"":0,""STICSA7"":0,""STICSA8"":1,""STICSA12"":0,""STICSA14"":0,""Catch"":3,""STICSA15"":0,""STICSA18"":0,""STICSA20"":0,""STICSA21"":0}","{""trialStart"":2531768,""STICSA6"":7477,""STICSA2"":8567,""STICSA7"":11191,""STICSA8"":23961,""STICSA12"":25605,""STICSA14"":27326,""Catch"":30437,""STICSA15"":33002,""STICSA18"":37262,""STICSA20"":46744,""STICSA21"":48298}","[0,1,2,3,4,5,6,7,8,9,10]",mt4s3Nr1oPdSypfLWlfTwM60BY72,,5c31167d1a964b0001ffcce5,16:37:09,27/03/2024
7039.0,"<p style=""font-size: 2.0rem"">In the next short questionnaire, the instructions are:<br><br><br></p><p style=""font-size: 2.2rem; line-height: 1.3; color: #000080""> Below is a list of feelings, sensations, problems, and experiences that people sometimes have.
Read each item and then choose the response that best describes how much you have felt or
experienced things this way during the <b>past week, including today</b>.</p><br><br><br><p style=""font-size: 2.0rem""> Thank you for your continued attention and focus!</p><br><br><br>",0,survey,MASQ_7,mt4s3Nr1oPdSypfLWlfTwM60BY72,html-button-response,102,848147,0.0-40.0-2.0-1.0-0.0,,,,,,5c31167d1a964b0001ffcce5,16:37:09,27/03/2024
,,,survey,MASQ_7,mt4s3Nr1oPdSypfLWlfTwM60BY72,lmdlab-survey-likert,103,891849,0.0-40.0-2.0-1.0-1.0,"{""MASQ1"":3,""MASQ5"":1,""MASQ9"":3,""MASQ11"":1,""MASQ15"":2,""MASQ19"":2,""MASQ23"":2,""MASQ25"":2,""HADS2"":1,""HADS6"":0}","{""trialStart"":2589893,""MASQ1"":2255,""MASQ5"":6841,""MASQ9"":10312,""MASQ11"":16292,""MASQ15"":19311,""MASQ19"":25106,""MASQ23"":27679,""MASQ25"":29963,""HADS2"":35990,""HADS6"":41382}","[0,1,2,3,4,5,6,7,8,9]",mt4s3Nr1oPdSypfLWlfTwM60BY72,,5c31167d1a964b0001ffcce5,16:37:09,27/03/2024
32360.0,"<p style=""font-size: 2.5rem"">In the next short questionnaire, the instructions are:<br><br><br></p><p style=""font-size: 2.2rem; line-height: 1.3; color: #000080""> Please indicate to what extent these statements describe your responses <b>over the last two 
weeks, including today</b>.<br>
Did you <b>not</b> have this experience? No problem. Please indicate how you <u>would have responded</u>
if you had experienced the situation over the last two weeks.</b><br>
Please consider only the aspect of the situation that is described, paying particular attention to
the <u>underlined text</u>. For example, if the statement says, ""<u>I wanted</u> to meet new people,"" rate
how much you wanted or would have wanted to meet new people over the last two weeks,
assuming that the opportunity presented itself. Do not consider what the situation would have
required of you or whether it would have been possible for you to meet people.</p><br><br><br><p style=""font-size: 2.0rem""> Thank you for your continued attention and focus!</p><br><br><br>",0,survey,PVSS,mt4s3Nr1oPdSypfLWlfTwM60BY72,html-button-response,104,924211,0.0-40.0-2.0-2.0-0.0,,,,,,5c31167d1a964b0001ffcce5,16:37:09,27/03/2024
,,,survey,PVSS,mt4s3Nr1oPdSypfLWlfTwM60BY72,lmdlab-survey-likert,105,1155991,0.0-40.0-2.0-2.0-1.0,"{""PVSS1"":2,""PVSS2"":6,""PVSS3"":6,""PVSS4"":5,""PVSS5"":5,""PVSS6"":6,""PVSS7"":5,""PVSS8"":4,""Catch"":8,""PVSS9"":6,""PVSS10"":5,""PVSS11"":5,""PVSS12"":6,""PVSS13"":7,""PVSS14"":3,""PVSS15"":5,""PVSS16"":7,""PVSS17"":6,""PVSS18"":5,""PVSS19"":5,""PVSS20"":6,""PVSS21"":5}","{""trialStart"":2665958,""PVSS1"":31258,""PVSS2"":35191,""PVSS3"":46918,""PVSS4"":54435,""PVSS5"":86090,""PVSS6"":92531,""PVSS7"":106032,""PVSS8"":110003,""Catch"":146095,""PVSS9"":150856,""PVSS10"":158015,""PVSS11"":161869,""PVSS12"":165125,""PVSS13"":170560,""PVSS14"":178372,""PVSS15"":197801,""PVSS16"":200955,""PVSS17"":204757,""PVSS18"":210452,""PVSS19"":219792,""PVSS20"":225643,""PVSS21"":228835}","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21]",mt4s3Nr1oPdSypfLWlfTwM60BY72,,5c31167d1a964b0001ffcce5,16:37:09,27/03/2024
4970.0,"<p style=""font-size: 2.0rem"">In the next short questionnaire, the instructions are:<br><br><br></p><p style=""font-size: 2.2rem; line-height: 1.3; color: #000080""> Over the <u>last two weeks</u>, how often have you been bothered by the following problems?</p><br><br><br><p style=""font-size: 2.0rem""> Thank you for your continued attention and focus!</p><br><br><br>",0,survey,GAD7,mt4s3Nr1oPdSypfLWlfTwM60BY72,html-button-response,106,1160963,0.0-40.0-2.0-3.0-0.0,,,,,,5c31167d1a964b0001ffcce5,16:37:09,27/03/2024
,,,survey,GAD7,mt4s3Nr1oPdSypfLWlfTwM60BY72,lmdlab-survey-likert,107,1180491,0.0-40.0-2.0-3.0-1.0,"{""GAD1"":0,""GAD2"":0,""GAD3"":0,""GAD4"":0,""GAD5"":1,""GAD6"":0,""GAD7"":0}","{""trialStart"":2902709,""GAD1"":3848,""GAD2"":5225,""GAD3"":7431,""GAD4"":9437,""GAD5"":11741,""GAD6"":14936,""GAD7"":16920}","[0,1,2,3,4,5,6]",mt4s3Nr1oPdSypfLWlfTwM60BY72,,5c31167d1a964b0001ffcce5,16:37:09,27/03/2024
3339.0,"<p style=""font-size: 2.5rem"">In the next short questionnaire, the instructions are:<br><br><br></p><p style=""font-size: 2.2rem; line-height: 1.3; color: #000080""> For each question below, please select the option that describes you the best.</p><br><br><br><p style=""font-size: 2.0rem""> Thank you for your continued attention and focus!</p><br><br><br>",0,survey,HPS,mt4s3Nr1oPdSypfLWlfTwM60BY72,html-button-response,108,1183833,0.0-40.0-2.0-4.0-0.0,,,,,,5c31167d1a964b0001ffcce5,16:37:09,27/03/2024
,,,survey,HPS,mt4s3Nr1oPdSypfLWlfTwM60BY72,lmdlab-survey-likert,109,1255966,0.0-40.0-2.0-4.0-1.0,"{""hps1"":1,""hps2"":3,""hps3"":2,""hps4"":3,""hps5"":1,""hps6"":3,""hps7"":3,""hps8"":3,""hps9"":1,""hps10"":1,""hps11"":1,""hps12"":3}","{""trialStart"":2925578,""hps1"":8932,""hps2"":13761,""hps3"":20901,""hps4"":24087,""hps5"":28909,""hps6"":32328,""hps7"":40250,""hps8"":44251,""hps9"":49667,""hps10"":56831,""hps11"":62213,""hps12"":69570}","[0,1,2,3,4,5,6,7,8,9,10,11]",mt4s3Nr1oPdSypfLWlfTwM60BY72,,5c31167d1a964b0001ffcce5,16:37:09,27/03/2024
13098.0,"<p style='font-size: 42px; color: white;'>Great work! Please take a break.<br><br><br><br><i>(For example, stand up, stretch, get some water)</i><br><br><br><br><br>When you are ready, press the button<br><br>to start the next section.</p><br><br><br><br>",0,survey,rest,mt4s3Nr1oPdSypfLWlfTwM60BY72,lmdlab-rest-trial-limit,110,1270568,0.0-40.0-3.0,,,,,0.0,5c31167d1a964b0001ffcce5,16:37:09,27/03/2024
7130.0,"<p style=""font-size: 2.0rem"">In the next short questionnaire, the instructions are:<br><br><br></p><p style=""font-size: 2.2rem; line-height: 1.3; color: #000080""> For each question, choose the answer that best describes yourthoughts, feelings, and actions during the <b>past 4 weeks</b>.</p><br><br><br><p style=""font-size: 2.0rem""> Thank you for your continued attention and focus!</p><br><br><br>",0,survey,AES,mt4s3Nr1oPdSypfLWlfTwM60BY72,html-button-response,111,1277700,0.0-40.0-4.0-0.0-0.0,,,,,,5c31167d1a964b0001ffcce5,16:37:09,27/03/2024
,,,survey,AES,mt4s3Nr1oPdSypfLWlfTwM60BY72,lmdlab-survey-likert,112,1377756,0.0-40.0-4.0-0.0-1.0,"{""AES1"":2,""AES2"":2,""AES3"":2,""AES4"":1,""AES5"":2,""AES6"":1,""AES7"":1,""AES8"":2,""Catch"":0,""AES9"":2,""AES10"":0,""AES11"":1,""AES12"":1,""AES13"":0,""AES14"":1,""AES15"":1,""AES16"":2,""AES17"":2,""AES18"":2,""FSS9"":0}","{""trialStart"":3019447,""AES1"":2030,""AES2"":4525,""AES3"":8002,""AES4"":10797,""AES5"":14277,""AES6"":20485,""AES7"":23280,""AES8"":27773,""Catch"":30684,""AES9"":56173,""AES10"":60423,""AES11"":68681,""AES12"":73008,""AES13"":77001,""AES14"":81092,""AES15"":85967,""AES16"":89980,""AES17"":93189,""AES18"":94369,""FSS9"":97703}","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19]",mt4s3Nr1oPdSypfLWlfTwM60BY72,,5c31167d1a964b0001ffcce5,16:37:09,27/03/2024
3488.0,"<p style=""font-size: 2.0rem"">In the next short questionnaire, the instructions are:<br><br><br></p><p style=""font-size: 2.2rem; line-height: 1.3; color: #000080""> Over the <u>last two weeks</u>, how often have you been bothered by any of the following problems?</p><br><br><br><p style=""font-size: 2.0rem""> Thank you for your continued attention and focus!</p><br><br><br>",0,survey,PHQ9,mt4s3Nr1oPdSypfLWlfTwM60BY72,html-button-response,113,1381246,0.0-40.0-4.0-1.0-0.0,,,,,,5c31167d1a964b0001ffcce5,16:37:09,27/03/2024
,,,survey,PHQ9,mt4s3Nr1oPdSypfLWlfTwM60BY72,lmdlab-survey-likert,114,1440354,0.0-40.0-4.0-1.0-1.0,"{""PHQ1"":0,""PHQ2"":0,""PHQ3"":1,""PHQ4"":0,""Catch"":0,""PHQ5"":0,""PHQ6"":0,""PHQ7"":1,""PHQ8"":1,""PHQ9"":0}","{""trialStart"":3122991,""PHQ1"":3460,""PHQ2"":4622,""PHQ3"":8856,""PHQ4"":11932,""Catch"":21978,""PHQ5"":27745,""PHQ6"":33715,""PHQ7"":40925,""PHQ8"":49762,""PHQ9"":54182}","[0,1,2,3,4,5,6,7,8,9]",mt4s3Nr1oPdSypfLWlfTwM60BY72,,5c31167d1a964b0001ffcce5,16:37:09,27/03/2024
