rt,stimulus,response,exp_name,exp_stage,subjectID,trial_type,trial_index,time_elapsed,internal_node_id,response_string,response_times,question_order,databaseID,rest_warning,prolificID,start_time,date
2518.2000000476837,"<p style=""font-size: 3rem; line-height: 1.3"">Great work!<br><br>The final part today involves the completion of several questionnaires.<br>There is a rest break half way through.</b><br><br><br>",0,survey,introduction,2vgTIayd7rPhZJxSLeZXo8SMsoZ2,html-button-response,98,372239,0.0-40.0-0.0,,,,,,5c929e7b18adb600131a667a,16:46:24,27/03/2024
3999.7000000476837,"<p style=""font-size: 3rem; line-height: 1.3"">Please read the instructions for <b>each set of questions</b>,<br>and then <b>carefully</b> answer each question.<br><br><br>Please note that the <b>instructions and options change</b><br>for different questionnaries.<br><br><br><br><b>Thank you for doing your best!</b><br><br><br>",0,survey,introduction,2vgTIayd7rPhZJxSLeZXo8SMsoZ2,html-button-response,99,376240,0.0-40.0-1.0,,,,,,5c929e7b18adb600131a667a,16:46:24,27/03/2024
18621.300000190735,"<p style=""font-size: 2.5rem"">In the next short questionnaire, the instructions are:<br><br><br></p><p style=""font-size: 2.2rem; line-height: 1.3; color: #000080""> Please indicate to what extent these statements describe your responses <b>over the last two 
weeks, including today</b>.<br>
Did you <b>not</b> have this experience? No problem. Please indicate how you <u>would have responded</u>
if you had experienced the situation over the last two weeks.</b><br>
Please consider only the aspect of the situation that is described, paying particular attention to
the <u>underlined text</u>. For example, if the statement says, ""<u>I wanted</u> to meet new people,"" rate
how much you wanted or would have wanted to meet new people over the last two weeks,
assuming that the opportunity presented itself. Do not consider what the situation would have
required of you or whether it would have been possible for you to meet people.</p><br><br><br><p style=""font-size: 2.0rem""> Thank you for your continued attention and focus!</p><br><br><br>",0,survey,PVSS,2vgTIayd7rPhZJxSLeZXo8SMsoZ2,html-button-response,100,394862,0.0-40.0-2.0-0.0-0.0,,,,,,5c929e7b18adb600131a667a,16:46:24,27/03/2024
,,,survey,PVSS,2vgTIayd7rPhZJxSLeZXo8SMsoZ2,lmdlab-survey-likert,101,483810,0.0-40.0-2.0-0.0-1.0,"{""PVSS1"":5,""PVSS2"":4,""PVSS3"":3,""PVSS4"":6,""PVSS5"":3,""PVSS6"":5,""PVSS7"":6,""PVSS8"":5,""Catch"":8,""PVSS9"":7,""PVSS10"":5,""PVSS11"":5,""PVSS12"":6,""PVSS13"":7,""PVSS14"":2,""PVSS15"":5,""PVSS16"":6,""PVSS17"":6,""PVSS18"":6,""PVSS19"":5,""PVSS20"":4,""PVSS21"":3}","{""trialStart"":2215319.0999999046,""PVSS1"":9813.100000143051,""PVSS2"":17810.10000014305,""PVSS3"":19884.400000095367,""PVSS4"":25711.60000014305,""PVSS5"":30089.200000047684,""PVSS6"":33711.5,""PVSS7"":35932.200000047684,""PVSS8"":40249.700000047684,""Catch"":42017.5,""PVSS9"":45542.90000009537,""PVSS10"":49572.10000014305,""PVSS11"":53216.90000009537,""PVSS12"":55578.60000014305,""PVSS13"":59174.10000014305,""PVSS14"":61108.299999952316,""PVSS15"":66611.20000004768,""PVSS16"":68656.79999995232,""PVSS17"":73458.70000004768,""PVSS18"":75638.60000014305,""PVSS19"":78108.29999995232,""PVSS20"":82919,""PVSS21"":84933.90000009537}","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21]",2vgTIayd7rPhZJxSLeZXo8SMsoZ2,,5c929e7b18adb600131a667a,16:46:24,27/03/2024
3834.9000000953674,"<p style=""font-size: 2.0rem"">In the next short questionnaire, the instructions are:<br><br><br></p><p style=""font-size: 2.2rem; line-height: 1.3; color: #000080""> For each question, choose the answer that best describes yourthoughts, feelings, and actions during the <b>past 4 weeks</b>.</p><br><br><br><p style=""font-size: 2.0rem""> Thank you for your continued attention and focus!</p><br><br><br>",0,survey,AES,2vgTIayd7rPhZJxSLeZXo8SMsoZ2,html-button-response,102,487650,0.0-40.0-2.0-1.0-0.0,,,,,,5c929e7b18adb600131a667a,16:46:24,27/03/2024
,,,survey,AES,2vgTIayd7rPhZJxSLeZXo8SMsoZ2,lmdlab-survey-likert,103,550463,0.0-40.0-2.0-1.0-1.0,"{""AES1"":2,""AES2"":2,""AES3"":1,""AES4"":1,""AES5"":1,""AES6"":1,""AES7"":0,""AES8"":1,""Catch"":0,""AES9"":2,""AES10"":1,""AES11"":0,""AES12"":0,""AES13"":0,""AES14"":1,""AES15"":2,""AES16"":2,""AES17"":2,""AES18"":1,""FSS9"":2}","{""trialStart"":2308106.2000000477,""AES1"":2812.899999856949,""AES2"":4056.199999809265,""AES3"":9824.699999809265,""AES4"":11176.5,""AES5"":12966.699999809265,""AES6"":19700.299999952316,""AES7"":21684.39999985695,""AES8"":23333.299999952316,""Catch"":28467.699999809265,""AES9"":32064.799999952316,""AES10"":34938.299999952316,""AES11"":40715.5,""AES12"":42366.89999985695,""AES13"":46979.5,""AES14"":49150.199999809265,""AES15"":50116.799999952316,""AES16"":53968.5,""AES17"":55322.799999952316,""AES18"":56517.699999809265,""FSS9"":60151.799999952316}","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19]",2vgTIayd7rPhZJxSLeZXo8SMsoZ2,,5c929e7b18adb600131a667a,16:46:24,27/03/2024
6751.599999904633,"<p style=""font-size: 2.5rem"">In the next short questionnaire, the instructions are:<br><br><br></p><p style=""font-size: 2.2rem; line-height: 1.3; color: #000080""> For each question below, please select the option that describes you the best.</p><br><br><br><p style=""font-size: 2.0rem""> Thank you for your continued attention and focus!</p><br><br><br>",0,survey,HPS,2vgTIayd7rPhZJxSLeZXo8SMsoZ2,html-button-response,104,557216,0.0-40.0-2.0-2.0-0.0,,,,,,5c929e7b18adb600131a667a,16:46:24,27/03/2024
,,,survey,HPS,2vgTIayd7rPhZJxSLeZXo8SMsoZ2,lmdlab-survey-likert,105,601926,0.0-40.0-2.0-2.0-1.0,"{""hps1"":3,""hps2"":1,""hps3"":1,""hps4"":2,""hps5"":3,""hps6"":3,""hps7"":1,""hps8"":0,""hps9"":0,""hps10"":3,""hps11"":2,""hps12"":3}","{""trialStart"":2377670.7999999523,""hps1"":6004.200000047684,""hps2"":7880.099999904633,""hps3"":13639.400000095367,""hps4"":14862.200000047684,""hps5"":16305.200000047684,""hps6"":21422.099999904633,""hps7"":24148.700000047684,""hps8"":29797.700000047684,""hps9"":31813.900000095367,""hps10"":35656.09999990463,""hps11"":38215.5,""hps12"":42422.700000047684}","[0,1,2,3,4,5,6,7,8,9,10,11]",2vgTIayd7rPhZJxSLeZXo8SMsoZ2,,5c929e7b18adb600131a667a,16:46:24,27/03/2024
3520.5,"<p style=""font-size: 2.0rem"">In the next short questionnaire, the instructions are:<br><br><br></p><p style=""font-size: 2.2rem; line-height: 1.3; color: #000080""> Please read each statement and decide <b>how much</b> of thetime the statement describes how you have been feelingduring the <b>past several days</b>.</p><br><br><br><p style=""font-size: 2.0rem""> Thank you for your continued attention and focus!</p><br><br><br>",0,survey,SDS,2vgTIayd7rPhZJxSLeZXo8SMsoZ2,html-button-response,106,605448,0.0-40.0-2.0-3.0-0.0,,,,,,5c929e7b18adb600131a667a,16:46:24,27/03/2024
,,,survey,SDS,2vgTIayd7rPhZJxSLeZXo8SMsoZ2,lmdlab-survey-likert,107,664102,0.0-40.0-2.0-3.0-1.0,"{""SDS2"":1,""SDS3"":2,""SDS5"":3,""SDS6"":0,""SDS7"":1,""SDS8"":0,""Catch"":0,""SDS9"":0,""SDS10"":2,""SDS11"":1,""SDS12"":1,""SDS14"":1,""SDS16"":1,""SDS17"":1,""SDS18"":0,""SDS20"":1}","{""trialStart"":2425903.5,""SDS2"":3482.0999999046326,""SDS3"":4728.099999904633,""SDS5"":10585.399999856949,""SDS6"":13935.299999952316,""SDS7"":16026,""SDS8"":22803.099999904633,""Catch"":25441.39999985695,""SDS9"":30170.200000047684,""SDS10"":31582.700000047684,""SDS11"":33717.5,""SDS12"":38726.299999952316,""SDS14"":40780.89999985695,""SDS16"":47505.799999952316,""SDS17"":49738,""SDS18"":52298.09999990463,""SDS20"":56250.59999990463}","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15]",2vgTIayd7rPhZJxSLeZXo8SMsoZ2,,5c929e7b18adb600131a667a,16:46:24,27/03/2024
