rt,stimulus,response,exp_name,exp_stage,subjectID,trial_type,trial_index,time_elapsed,internal_node_id,response_string,response_times,question_order,databaseID,rest_warning,prolificID,start_time,date
6552.100000023842,"<p style=""font-size: 3rem; line-height: 1.3"">Great work!<br><br>The final part today involves the completion of several questionnaires.<br>There is a rest break half way through.</b><br><br><br>",0,survey,introduction,h8Ym18yhTTVqpjo7FTKapTwe0RK2,html-button-response,98,581796,0.0-40.0-0.0,,,,,,5ada0b521771b700010a1777,16:48:13,27/03/2024
5290.900000095367,"<p style=""font-size: 3rem; line-height: 1.3"">Please read the instructions for <b>each set of questions</b>,<br>and then <b>carefully</b> answer each question.<br><br><br>Please note that the <b>instructions and options change</b><br>for different questionnaries.<br><br><br><br><b>Thank you for doing your best!</b><br><br><br>",0,survey,introduction,h8Ym18yhTTVqpjo7FTKapTwe0RK2,html-button-response,99,587088,0.0-40.0-1.0,,,,,,5ada0b521771b700010a1777,16:48:13,27/03/2024
8950.0,"<p style=""font-size: 2.0rem"">In the next short questionnaire, the instructions are:<br><br><br></p><p style=""font-size: 2.2rem; line-height: 1.3; color: #000080""> Below is a list of feelings, sensations, problems, and experiences that people sometimes have.
Read each item and then choose the response that best describes how much you have felt or
experienced things this way during the <b>past week, including today</b>.</p><br><br><br><p style=""font-size: 2.0rem""> Thank you for your continued attention and focus!</p><br><br><br>",0,survey,MASQ_7,h8Ym18yhTTVqpjo7FTKapTwe0RK2,html-button-response,100,596039,0.0-40.0-2.0-0.0-0.0,,,,,,5ada0b521771b700010a1777,16:48:13,27/03/2024
,,,survey,MASQ_7,h8Ym18yhTTVqpjo7FTKapTwe0RK2,lmdlab-survey-likert,101,629667,0.0-40.0-2.0-0.0-1.0,"{""MASQ1"":2,""MASQ5"":2,""MASQ9"":2,""MASQ11"":1,""MASQ15"":3,""MASQ19"":2,""MASQ23"":2,""MASQ25"":1,""HADS2"":0,""HADS6"":0}","{""trialStart"":2281656.5,""MASQ1"":6000,""MASQ5"":8120.5,""MASQ9"":12000.799999952316,""MASQ11"":14149.899999976158,""MASQ15"":17549.5,""MASQ19"":21812.600000023842,""MASQ23"":23579.699999928474,""MASQ25"":25812.399999976158,""HADS2"":28713.100000023842,""HADS6"":31460.100000023842}","[0,1,2,3,4,5,6,7,8,9]",h8Ym18yhTTVqpjo7FTKapTwe0RK2,,5ada0b521771b700010a1777,16:48:13,27/03/2024
3841.2000000476837,"<p style=""font-size: 2.0rem"">In the next short questionnaire, the instructions are:<br><br><br></p><p style=""font-size: 2.2rem; line-height: 1.3; color: #000080""> Over the <u>last two weeks</u>, how often have you been bothered by any of the following problems?</p><br><br><br><p style=""font-size: 2.0rem""> Thank you for your continued attention and focus!</p><br><br><br>",0,survey,PHQ9,h8Ym18yhTTVqpjo7FTKapTwe0RK2,html-button-response,102,633509,0.0-40.0-2.0-1.0-0.0,,,,,,5ada0b521771b700010a1777,16:48:13,27/03/2024
,,,survey,PHQ9,h8Ym18yhTTVqpjo7FTKapTwe0RK2,lmdlab-survey-likert,103,677649,0.0-40.0-2.0-1.0-1.0,"{""PHQ1"":0,""PHQ2"":1,""PHQ3"":1,""PHQ4"":0,""Catch"":0,""PHQ5"":0,""PHQ6"":1,""PHQ7"":0,""PHQ8"":0,""PHQ9"":1}","{""trialStart"":2319126.399999976,""PHQ1"":9469,""PHQ2"":10523.100000023842,""PHQ3"":12727.100000023842,""PHQ4"":18370.200000047684,""Catch"":21171.5,""PHQ5"":28279.200000047684,""PHQ6"":30959.399999976158,""PHQ7"":33958.39999997616,""PHQ8"":36263.700000047684,""PHQ9"":42096.799999952316}","[0,1,2,3,4,5,6,7,8,9]",h8Ym18yhTTVqpjo7FTKapTwe0RK2,,5ada0b521771b700010a1777,16:48:13,27/03/2024
3254.0999999046326,"<p style=""font-size: 2.0rem"">In the next short questionnaire, the instructions are:<br><br><br></p><p style=""font-size: 2.2rem; line-height: 1.3; color: #000080""> Over the <u>last two weeks</u>, how often have you been bothered by the following problems?</p><br><br><br><p style=""font-size: 2.0rem""> Thank you for your continued attention and focus!</p><br><br><br>",0,survey,GAD7,h8Ym18yhTTVqpjo7FTKapTwe0RK2,html-button-response,104,680904,0.0-40.0-2.0-2.0-0.0,,,,,,5ada0b521771b700010a1777,16:48:13,27/03/2024
,,,survey,GAD7,h8Ym18yhTTVqpjo7FTKapTwe0RK2,lmdlab-survey-likert,105,700536,0.0-40.0-2.0-2.0-1.0,"{""GAD1"":1,""GAD2"":1,""GAD3"":1,""GAD4"":1,""GAD5"":0,""GAD6"":0,""GAD7"":1}","{""trialStart"":2366527.600000024,""GAD1"":2467.5999999046326,""GAD2"":4931.299999952316,""GAD3"":6449.299999952316,""GAD4"":8822.399999976158,""GAD5"":10808.5,""GAD6"":13042.599999904633,""GAD7"":18002.299999952316}","[0,1,2,3,4,5,6]",h8Ym18yhTTVqpjo7FTKapTwe0RK2,,5ada0b521771b700010a1777,16:48:13,27/03/2024
3973.2000000476837,"<p style=""font-size: 2.0rem"">In the next short questionnaire, the instructions are:<br><br><br></p><p style=""font-size: 2.2rem; line-height: 1.3; color: #000080""> For each question, choose the answer that best describes yourthoughts, feelings, and actions during the <b>past 4 weeks</b>.</p><br><br><br><p style=""font-size: 2.0rem""> Thank you for your continued attention and focus!</p><br><br><br>",0,survey,AES,h8Ym18yhTTVqpjo7FTKapTwe0RK2,html-button-response,106,704510,0.0-40.0-2.0-3.0-0.0,,,,,,5ada0b521771b700010a1777,16:48:13,27/03/2024
,,,survey,AES,h8Ym18yhTTVqpjo7FTKapTwe0RK2,lmdlab-survey-likert,107,766437,0.0-40.0-2.0-3.0-1.0,"{""AES1"":2,""AES2"":1,""AES3"":2,""AES4"":3,""AES5"":3,""AES6"":1,""AES7"":1,""AES8"":1,""Catch"":0,""AES9"":2,""AES10"":0,""AES11"":0,""AES12"":0,""AES13"":0,""AES14"":2,""AES15"":2,""AES16"":1,""AES17"":2,""AES18"":1,""FSS9"":0}","{""trialStart"":2390133.2999999523,""AES1"":2041.7000000476837,""AES2"":4020.899999976158,""AES3"":7882.100000023842,""AES4"":10755,""AES5"":12910.700000047684,""AES6"":14373.300000071526,""AES7"":18954.399999976158,""AES8"":20902.5,""Catch"":23327.200000047684,""AES9"":26596.100000023842,""AES10"":28572.399999976158,""AES11"":33850.5,""AES12"":35963.800000071526,""AES13"":38446.5,""AES14"":42417.10000002384,""AES15"":50661.800000071526,""AES16"":52974.700000047684,""AES17"":54737.5,""AES18"":57054.300000071526,""FSS9"":60115.60000002384}","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19]",h8Ym18yhTTVqpjo7FTKapTwe0RK2,,5ada0b521771b700010a1777,16:48:13,27/03/2024
3452.3000000715256,"<p style=""font-size: 2.5rem"">In the next short questionnaire, the instructions are:<br><br><br></p><p style=""font-size: 2.2rem; line-height: 1.3; color: #000080""> For each question below, please select the option that describes you the best.</p><br><br><br><p style=""font-size: 2.0rem""> Thank you for your continued attention and focus!</p><br><br><br>",0,survey,HPS,h8Ym18yhTTVqpjo7FTKapTwe0RK2,html-button-response,108,769892,0.0-40.0-2.0-4.0-0.0,,,,,,5ada0b521771b700010a1777,16:48:13,27/03/2024
,,,survey,HPS,h8Ym18yhTTVqpjo7FTKapTwe0RK2,lmdlab-survey-likert,109,814592,0.0-40.0-2.0-4.0-1.0,"{""hps1"":0,""hps2"":4,""hps3"":0,""hps4"":3,""hps5"":0,""hps6"":1,""hps7"":1,""hps8"":0,""hps9"":1,""hps10"":1,""hps11"":2,""hps12"":2}","{""trialStart"":2455509.5,""hps1"":3822.2999999523163,""hps2"":8335.600000023842,""hps3"":11122.600000023842,""hps4"":14197.100000023842,""hps5"":16591.5,""hps6"":22162.699999928474,""hps7"":25855.399999976158,""hps8"":27965.799999952316,""hps9"":30247.799999952316,""hps10"":32510.299999952316,""hps11"":35818,""hps12"":42586.10000002384}","[0,1,2,3,4,5,6,7,8,9,10,11]",h8Ym18yhTTVqpjo7FTKapTwe0RK2,,5ada0b521771b700010a1777,16:48:13,27/03/2024
3986.3000000715256,"<p style='font-size: 42px; color: white;'>Great work! Please take a break.<br><br><br><br><i>(For example, stand up, stretch, get some water)</i><br><br><br><br><br>When you are ready, press the button<br><br>to start the next section.</p><br><br><br><br>",0,survey,rest,h8Ym18yhTTVqpjo7FTKapTwe0RK2,lmdlab-rest-trial-limit,110,820090,0.0-40.0-3.0,,,,,0.0,5ada0b521771b700010a1777,16:48:13,27/03/2024
11819.299999952316,"<p style=""font-size: 2.0rem"">In the next short questionnaire, the instructions are:<br><br><br></p><p style=""font-size: 2.2rem; line-height: 1.3; color: #000080""> You will see a list of statements which can be used to describe how people feel.
Below each statement are four options which indicate how often each statement
is true of you. Please read each statement carefully and select the option which best indicates
how often, <b>in general</b>, the statement is true of you.</p><br><br><br><p style=""font-size: 2.0rem""> Thank you for your continued attention and focus!</p><br><br><br>",0,survey,STICSA,h8Ym18yhTTVqpjo7FTKapTwe0RK2,html-button-response,111,831910,0.0-40.0-4.0-0.0-0.0,,,,,,5ada0b521771b700010a1777,16:48:13,27/03/2024
,,,survey,STICSA,h8Ym18yhTTVqpjo7FTKapTwe0RK2,lmdlab-survey-likert,112,857710,0.0-40.0-4.0-0.0-1.0,"{""STICSA2"":0,""STICSA6"":0,""STICSA7"":0,""STICSA8"":0,""STICSA12"":0,""STICSA14"":0,""Catch"":3,""STICSA15"":0,""STICSA18"":0,""STICSA20"":1,""STICSA21"":0}","{""trialStart"":2517526.899999976,""STICSA2"":2915.600000023842,""STICSA6"":5149.299999952316,""STICSA7"":7641.5,""STICSA8"":9082.600000023842,""STICSA12"":11251.700000047684,""STICSA14"":12545.700000047684,""Catch"":14349.299999952316,""STICSA15"":16792,""STICSA18"":18252.299999952316,""STICSA20"":21577.299999952316,""STICSA21"":23582.200000047684}","[0,1,2,3,4,5,6,7,8,9,10]",h8Ym18yhTTVqpjo7FTKapTwe0RK2,,5ada0b521771b700010a1777,16:48:13,27/03/2024
6041.900000095367,"<p style=""font-size: 2.0rem"">In the next short questionnaire, the instructions are:<br><br><br></p><p style=""font-size: 2.2rem; line-height: 1.3; color: #000080""> Please read each statement and decide <b>how much</b> of thetime the statement describes how you have been feelingduring the <b>past several days</b>.</p><br><br><br><p style=""font-size: 2.0rem""> Thank you for your continued attention and focus!</p><br><br><br>",0,survey,SDS,h8Ym18yhTTVqpjo7FTKapTwe0RK2,html-button-response,113,863753,0.0-40.0-4.0-1.0-0.0,,,,,,5ada0b521771b700010a1777,16:48:13,27/03/2024
,,,survey,SDS,h8Ym18yhTTVqpjo7FTKapTwe0RK2,lmdlab-survey-likert,114,927288,0.0-40.0-4.0-1.0-1.0,"{""SDS2"":0,""SDS3"":1,""SDS5"":0,""SDS6"":3,""SDS7"":2,""SDS8"":0,""Catch"":0,""SDS9"":0,""SDS10"":0,""SDS11"":3,""SDS12"":3,""SDS14"":2,""SDS16"":1,""SDS17"":0,""SDS18"":0,""SDS20"":3}","{""trialStart"":2549370.1999999285,""SDS2"":2414.9000000953674,""SDS3"":7057.400000095367,""SDS5"":9796.300000071526,""SDS6"":11874.400000095367,""SDS7"":14657.300000071526,""SDS8"":19065.600000023842,""Catch"":26412.5,""SDS9"":28494.700000047684,""SDS10"":34330.60000002384,""SDS11"":39230.90000009537,""SDS12"":42479.40000009537,""SDS14"":46571.5,""SDS16"":51990.40000009537,""SDS17"":55571.700000047684,""SDS18"":59125.5,""SDS20"":61613}","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15]",h8Ym18yhTTVqpjo7FTKapTwe0RK2,,5ada0b521771b700010a1777,16:48:13,27/03/2024
