rt,stimulus,response,exp_name,exp_stage,subjectID,trial_type,trial_index,time_elapsed,internal_node_id,response_string,response_times,question_order,databaseID,rest_warning,prolificID,start_time,date
4109.0999999996275,"<p style=""font-size: 3rem; line-height: 1.3"">Great work!<br><br>The final part today involves the completion of several questionnaires.<br>There is a rest break half way through.</b><br><br><br>",0,survey,introduction,l64fJTO72RMtCCO99thFg0jCTzh1,html-button-response,98,401101,0.0-40.0-0.0,,,,,,5c4068a67f81e900012b281e,16:51:32,27/03/2024
5334.800000000745,"<p style=""font-size: 3rem; line-height: 1.3"">Please read the instructions for <b>each set of questions</b>,<br>and then <b>carefully</b> answer each question.<br><br><br>Please note that the <b>instructions and options change</b><br>for different questionnaries.<br><br><br><br><b>Thank you for doing your best!</b><br><br><br>",0,survey,introduction,l64fJTO72RMtCCO99thFg0jCTzh1,html-button-response,99,406437,0.0-40.0-1.0,,,,,,5c4068a67f81e900012b281e,16:51:32,27/03/2024
8204.300000000745,"<p style=""font-size: 2.0rem"">In the next short questionnaire, the instructions are:<br><br><br></p><p style=""font-size: 2.2rem; line-height: 1.3; color: #000080""> You will see a list of statements which can be used to describe how people feel.
Below each statement are four options which indicate how often each statement
is true of you. Please read each statement carefully and select the option which best indicates
how often, <b>in general</b>, the statement is true of you.</p><br><br><br><p style=""font-size: 2.0rem""> Thank you for your continued attention and focus!</p><br><br><br>",0,survey,STICSA,l64fJTO72RMtCCO99thFg0jCTzh1,html-button-response,100,414642,0.0-40.0-2.0-0.0-0.0,,,,,,5c4068a67f81e900012b281e,16:51:32,27/03/2024
,,,survey,STICSA,l64fJTO72RMtCCO99thFg0jCTzh1,lmdlab-survey-likert,101,439283,0.0-40.0-2.0-0.0-1.0,"{""STICSA2"":0,""STICSA6"":0,""STICSA7"":0,""STICSA8"":0,""STICSA12"":1,""STICSA14"":0,""Catch"":3,""STICSA15"":1,""STICSA18"":0,""STICSA20"":0,""STICSA21"":0}","{""trialStart"":2093448.6999999993,""STICSA2"":6019.100000000559,""STICSA6"":6909.600000000559,""STICSA7"":8699.5,""STICSA8"":9764.600000000559,""STICSA12"":10818.800000000745,""STICSA14"":11909.700000000186,""Catch"":13436.800000000745,""STICSA15"":14694,""STICSA18"":16009.100000000559,""STICSA20"":17330.300000000745,""STICSA21"":18668.800000000745}","[0,1,2,3,4,5,6,7,8,9,10]",l64fJTO72RMtCCO99thFg0jCTzh1,,5c4068a67f81e900012b281e,16:51:32,27/03/2024
13726.700000000186,"<p style=""font-size: 2.0rem"">In the next short questionnaire, the instructions are:<br><br><br></p><p style=""font-size: 2.2rem; line-height: 1.3; color: #000080""> Over the <u>last two weeks</u>, how often have you been bothered by any of the following problems?</p><br><br><br><p style=""font-size: 2.0rem""> Thank you for your continued attention and focus!</p><br><br><br>",0,survey,PHQ9,l64fJTO72RMtCCO99thFg0jCTzh1,html-button-response,102,453011,0.0-40.0-2.0-1.0-0.0,,,,,,5c4068a67f81e900012b281e,16:51:32,27/03/2024
,,,survey,PHQ9,l64fJTO72RMtCCO99thFg0jCTzh1,lmdlab-survey-likert,103,480071,0.0-40.0-2.0-1.0-1.0,"{""PHQ1"":1,""PHQ2"":1,""PHQ3"":2,""PHQ4"":3,""Catch"":0,""PHQ5"":0,""PHQ6"":0,""PHQ7"":2,""PHQ8"":1,""PHQ9"":0}","{""trialStart"":2131817.3999999994,""PHQ1"":2520.9000000003725,""PHQ2"":3690.2999999998137,""PHQ3"":5184.299999999814,""PHQ4"":6613.9000000003725,""Catch"":9407.799999999814,""PHQ5"":11791.100000000559,""PHQ6"":14794.400000000373,""PHQ7"":17593.799999999814,""PHQ8"":21920.299999999814,""PHQ9"":24850.5}","[0,1,2,3,4,5,6,7,8,9]",l64fJTO72RMtCCO99thFg0jCTzh1,,5c4068a67f81e900012b281e,16:51:32,27/03/2024
18495.799999999814,"<p style=""font-size: 2.0rem"">In the next short questionnaire, the instructions are:<br><br><br></p><p style=""font-size: 2.2rem; line-height: 1.3; color: #000080""> A number of statements which people have used to describe themselves are
given below. Read each statement and then rate according to the labels to
indicate <b>how you generally feel</b>.<br>
There are no right or wrong answers. Do not spend too much time on any one
statement but give the answer which seems to describe how you generally feel.</p><br><br><br><p style=""font-size: 2.0rem""> Thank you for your continued attention and focus!</p><br><br><br>",0,survey,STAI,l64fJTO72RMtCCO99thFg0jCTzh1,html-button-response,104,498568,0.0-40.0-2.0-2.0-0.0,,,,,,5c4068a67f81e900012b281e,16:51:32,27/03/2024
,,,survey,STAI,l64fJTO72RMtCCO99thFg0jCTzh1,lmdlab-survey-likert,105,692478,0.0-40.0-2.0-2.0-1.0,"{""STAI1"":1,""STAI3"":1,""STAI4"":0,""STAI6"":0,""STAI7"":2,""STAI8"":0,""STAI9"":1,""STAI10"":1,""STAI11"":2,""STAI12"":1,""STAI13"":1,""STAI14"":2,""Catch"":3,""STAI15"":1,""STAI16"":2,""STAI17"":1,""STAI18"":0,""STAI19"":1,""STAI20"":1,""BDI5"":1,""LOTR1"":2,""RRQ3"":1}","{""trialStart"":2177374.0999999996,""STAI1"":1694.9000000003725,""STAI3"":4232.5,""STAI4"":6031.5,""STAI6"":7076.700000000186,""STAI7"":9664.900000000373,""STAI8"":11176.299999999814,""STAI9"":15263.799999999814,""STAI10"":16398.599999999627,""STAI11"":18182,""STAI12"":19322.200000000186,""STAI13"":20906.099999999627,""STAI14"":23097.200000000186,""Catch"":85806.40000000037,""STAI15"":88051.79999999981,""STAI16"":88630.09999999963,""STAI17"":91095.40000000037,""STAI18"":92250.59999999963,""STAI19"":103138.40000000037,""STAI20"":168573.2000000002,""BDI5"":171356.5,""LOTR1"":187354.2000000002,""RRQ3"":191977.59999999963}","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21]",l64fJTO72RMtCCO99thFg0jCTzh1,,5c4068a67f81e900012b281e,16:51:32,27/03/2024
16723.5,"<p style=""font-size: 2.5rem"">In the next short questionnaire, the instructions are:<br><br><br></p><p style=""font-size: 2.2rem; line-height: 1.3; color: #000080""> Please indicate to what extent these statements describe your responses <b>over the last two 
weeks, including today</b>.<br>
Did you <b>not</b> have this experience? No problem. Please indicate how you <u>would have responded</u>
if you had experienced the situation over the last two weeks.</b><br>
Please consider only the aspect of the situation that is described, paying particular attention to
the <u>underlined text</u>. For example, if the statement says, ""<u>I wanted</u> to meet new people,"" rate
how much you wanted or would have wanted to meet new people over the last two weeks,
assuming that the opportunity presented itself. Do not consider what the situation would have
required of you or whether it would have been possible for you to meet people.</p><br><br><br><p style=""font-size: 2.0rem""> Thank you for your continued attention and focus!</p><br><br><br>",0,survey,PVSS,l64fJTO72RMtCCO99thFg0jCTzh1,html-button-response,106,709203,0.0-40.0-2.0-3.0-0.0,,,,,,5c4068a67f81e900012b281e,16:51:32,27/03/2024
,,,survey,PVSS,l64fJTO72RMtCCO99thFg0jCTzh1,lmdlab-survey-likert,107,810228,0.0-40.0-2.0-3.0-1.0,"{""PVSS1"":4,""PVSS2"":6,""PVSS3"":6,""PVSS4"":7,""PVSS5"":5,""PVSS6"":1,""PVSS7"":7,""PVSS8"":0,""Catch"":8,""PVSS9"":6,""PVSS10"":2,""PVSS11"":7,""PVSS12"":5,""PVSS13"":6,""PVSS14"":7,""PVSS15"":2,""PVSS16"":6,""PVSS17"":5,""PVSS18"":5,""PVSS19"":2,""PVSS20"":6,""PVSS21"":5}","{""trialStart"":2388009.3999999994,""PVSS1"":15843.799999999814,""PVSS2"":16946.900000000373,""PVSS3"":20911.5,""PVSS4"":22699.900000000373,""PVSS5"":25185,""PVSS6"":28959.200000000186,""PVSS7"":33872.60000000056,""PVSS8"":37378.40000000037,""Catch"":39196.40000000037,""PVSS9"":40977.60000000056,""PVSS10"":43992.5,""PVSS11"":45957.10000000056,""PVSS12"":47794.200000000186,""PVSS13"":50857.299999999814,""PVSS14"":53014.799999999814,""PVSS15"":56086.200000000186,""PVSS16"":65799.5,""PVSS17"":70224.60000000056,""PVSS18"":85918.90000000037,""PVSS19"":87494.40000000037,""PVSS20"":93307.79999999981,""PVSS21"":97447.10000000056}","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21]",l64fJTO72RMtCCO99thFg0jCTzh1,,5c4068a67f81e900012b281e,16:51:32,27/03/2024
