rt,stimulus,response,exp_name,exp_stage,subjectID,trial_type,trial_index,time_elapsed,internal_node_id,response_string,response_times,question_order,databaseID,rest_warning,prolificID,start_time,date
3468.0,"<p style=""font-size: 3rem; line-height: 1.3"">Great work!<br><br>The final part today involves the completion of several questionnaires.<br>There is a rest break half way through.</b><br><br><br>",0,survey,introduction,QvOLaMPUoOOt8WAwTW3maZEstqH3,html-button-response,98,1002060,0.0-40.0-0.0,,,,,,63ed0a8a65ddbf9edae99a16,16:55:00,27/03/2024
5796.0,"<p style=""font-size: 3rem; line-height: 1.3"">Please read the instructions for <b>each set of questions</b>,<br>and then <b>carefully</b> answer each question.<br><br><br>Please note that the <b>instructions and options change</b><br>for different questionnaries.<br><br><br><br><b>Thank you for doing your best!</b><br><br><br>",0,survey,introduction,QvOLaMPUoOOt8WAwTW3maZEstqH3,html-button-response,99,1007859,0.0-40.0-1.0,,,,,,63ed0a8a65ddbf9edae99a16,16:55:00,27/03/2024
13972.0,"<p style=""font-size: 2.0rem"">In the next short questionnaire, the instructions are:<br><br><br></p><p style=""font-size: 2.2rem; line-height: 1.3; color: #000080""> A number of statements which people have used to describe themselves are
given below. Read each statement and then rate according to the labels to
indicate <b>how you generally feel</b>.<br>
There are no right or wrong answers. Do not spend too much time on any one
statement but give the answer which seems to describe how you generally feel.</p><br><br><br><p style=""font-size: 2.0rem""> Thank you for your continued attention and focus!</p><br><br><br>",0,survey,STAI,QvOLaMPUoOOt8WAwTW3maZEstqH3,html-button-response,100,1021833,0.0-40.0-2.0-0.0-0.0,,,,,,63ed0a8a65ddbf9edae99a16,16:55:00,27/03/2024
,,,survey,STAI,QvOLaMPUoOOt8WAwTW3maZEstqH3,lmdlab-survey-likert,101,1149964,0.0-40.0-2.0-0.0-1.0,"{""STAI1"":2,""STAI3"":3,""STAI4"":1,""STAI6"":2,""STAI7"":3,""STAI8"":0,""STAI9"":1,""STAI10"":2,""STAI11"":0,""STAI12"":1,""STAI13"":2,""STAI14"":3,""Catch"":3,""STAI15"":1,""STAI16"":2,""STAI17"":1,""STAI18"":0,""STAI19"":3,""STAI20"":0,""BDI5"":2,""LOTR1"":1,""RRQ3"":0}","{""trialStart"":2931086,""STAI1"":2516,""STAI4"":8386,""STAI3"":9148,""STAI6"":11459,""STAI7"":12556,""STAI8"":15471,""STAI9"":18373,""STAI10"":20233,""STAI11"":21627,""STAI12"":24156,""STAI13"":26689,""STAI14"":93797,""Catch"":116391,""STAI15"":33692,""STAI16"":86533,""STAI17"":38603,""STAI18"":78134,""STAI19"":43163,""STAI20"":51209,""BDI5"":55285,""LOTR1"":59203,""RRQ3"":69739}","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21]",QvOLaMPUoOOt8WAwTW3maZEstqH3,,63ed0a8a65ddbf9edae99a16,16:55:00,27/03/2024
5478.0,"<p style=""font-size: 2.0rem"">In the next short questionnaire, the instructions are:<br><br><br></p><p style=""font-size: 2.2rem; line-height: 1.3; color: #000080""> Over the <u>last two weeks</u>, how often have you been bothered by the following problems?</p><br><br><br><p style=""font-size: 2.0rem""> Thank you for your continued attention and focus!</p><br><br><br>",0,survey,GAD7,QvOLaMPUoOOt8WAwTW3maZEstqH3,html-button-response,102,1155444,0.0-40.0-2.0-1.0-0.0,,,,,,63ed0a8a65ddbf9edae99a16,16:55:00,27/03/2024
,,,survey,GAD7,QvOLaMPUoOOt8WAwTW3maZEstqH3,lmdlab-survey-likert,103,1258102,0.0-40.0-2.0-1.0-1.0,"{""GAD1"":1,""GAD2"":0,""GAD3"":0,""GAD4"":0,""GAD5"":0,""GAD6"":0,""GAD7"":0}","{""trialStart"":3064696,""GAD2"":8465,""GAD1"":9368,""GAD3"":11572,""GAD4"":34537,""GAD5"":17198,""GAD6"":21109,""GAD7"":23294}","[0,1,2,3,4,5,6]",QvOLaMPUoOOt8WAwTW3maZEstqH3,,63ed0a8a65ddbf9edae99a16,16:55:00,27/03/2024
6441.0,"<p style=""font-size: 2.5rem"">In the next short questionnaire, the instructions are:<br><br><br></p><p style=""font-size: 2.2rem; line-height: 1.3; color: #000080""> For each question below, please select the option that describes you the best.</p><br><br><br><p style=""font-size: 2.0rem""> Thank you for your continued attention and focus!</p><br><br><br>",0,survey,HPS,QvOLaMPUoOOt8WAwTW3maZEstqH3,html-button-response,104,1264547,0.0-40.0-2.0-2.0-0.0,,,,,,63ed0a8a65ddbf9edae99a16,16:55:00,27/03/2024
,,,survey,HPS,QvOLaMPUoOOt8WAwTW3maZEstqH3,lmdlab-survey-likert,105,1390014,0.0-40.0-2.0-2.0-1.0,"{""hps1"":0,""hps2"":3,""hps3"":1,""hps4"":4,""hps5"":1,""hps6"":1,""hps7"":3,""hps8"":0,""hps9"":1,""hps10"":1,""hps11"":2,""hps12"":4}","{""trialStart"":3173800,""hps1"":4355,""hps2"":8163,""hps3"":13010,""hps4"":15202,""hps5"":17500,""hps6"":25935,""hps7"":28596,""hps8"":34049,""hps9"":70868,""hps10"":76941,""hps11"":110719,""hps12"":98249}","[0,1,2,3,4,5,6,7,8,9,10,11]",QvOLaMPUoOOt8WAwTW3maZEstqH3,,63ed0a8a65ddbf9edae99a16,16:55:00,27/03/2024
7648.0,"<p style=""font-size: 2.0rem"">In the next short questionnaire, the instructions are:<br><br><br></p><p style=""font-size: 2.2rem; line-height: 1.3; color: #000080""> For each question, choose the answer that best describes yourthoughts, feelings, and actions during the <b>past 4 weeks</b>.</p><br><br><br><p style=""font-size: 2.0rem""> Thank you for your continued attention and focus!</p><br><br><br>",0,survey,AES,QvOLaMPUoOOt8WAwTW3maZEstqH3,html-button-response,106,1397663,0.0-40.0-2.0-3.0-0.0,,,,,,63ed0a8a65ddbf9edae99a16,16:55:00,27/03/2024
,,,survey,AES,QvOLaMPUoOOt8WAwTW3maZEstqH3,lmdlab-survey-likert,107,1545285,0.0-40.0-2.0-3.0-1.0,"{""AES1"":2,""AES2"":3,""AES3"":2,""AES4"":3,""AES5"":2,""AES6"":0,""AES7"":2,""AES8"":2,""Catch"":0,""AES9"":3,""AES10"":0,""AES11"":1,""AES12"":3,""AES13"":2,""AES14"":2,""AES15"":3,""AES16"":2,""AES17"":3,""AES18"":2,""FSS9"":1}","{""trialStart"":3306916,""AES1"":4163,""AES2"":4933,""AES3"":7947,""AES4"":14532,""AES5"":16379,""AES6"":20959,""AES7"":22540,""AES8"":25294,""Catch"":26924,""AES9"":37049,""AES10"":40231,""AES11"":46706,""AES12"":48314,""AES13"":50839,""AES14"":55189,""AES15"":58178,""AES16"":75599,""AES17"":76967,""AES18"":78479,""FSS9"":81343}","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19]",QvOLaMPUoOOt8WAwTW3maZEstqH3,,63ed0a8a65ddbf9edae99a16,16:55:00,27/03/2024
