rt,stimulus,response,exp_name,exp_stage,subjectID,trial_type,trial_index,time_elapsed,internal_node_id,response_string,response_times,question_order,databaseID,rest_warning,prolificID,start_time,date
4231.4000000059605,"<p style=""font-size: 3rem; line-height: 1.3"">Great work!<br><br>The final part today involves the completion of several questionnaires.<br>There is a rest break half way through.</b><br><br><br>",0,survey,introduction,6vshFtP68NOBGHf5OCNZMBV6yRV2,html-button-response,98,528368,0.0-40.0-0.0,,,,,,65101adae9f0b22a17c5af61,23:48:59,27/03/2024
8470.59999999404,"<p style=""font-size: 3rem; line-height: 1.3"">Please read the instructions for <b>each set of questions</b>,<br>and then <b>carefully</b> answer each question.<br><br><br>Please note that the <b>instructions and options change</b><br>for different questionnaries.<br><br><br><br><b>Thank you for doing your best!</b><br><br><br>",0,survey,introduction,6vshFtP68NOBGHf5OCNZMBV6yRV2,html-button-response,99,536840,0.0-40.0-1.0,,,,,,65101adae9f0b22a17c5af61,23:48:59,27/03/2024
6577.100000008941,"<p style=""font-size: 2.0rem"">In the next short questionnaire, the instructions are:<br><br><br></p><p style=""font-size: 2.2rem; line-height: 1.3; color: #000080""> Please read each statement and decide <b>how much</b> of thetime the statement describes how you have been feelingduring the <b>past several days</b>.</p><br><br><br><p style=""font-size: 2.0rem""> Thank you for your continued attention and focus!</p><br><br><br>",0,survey,SDS,6vshFtP68NOBGHf5OCNZMBV6yRV2,html-button-response,100,543418,0.0-40.0-2.0-0.0-0.0,,,,,,65101adae9f0b22a17c5af61,23:48:59,27/03/2024
,,,survey,SDS,6vshFtP68NOBGHf5OCNZMBV6yRV2,lmdlab-survey-likert,101,656129,0.0-40.0-2.0-0.0-1.0,"{""SDS2"":1,""SDS3"":2,""SDS5"":2,""SDS6"":2,""SDS7"":0,""SDS8"":0,""Catch"":0,""SDS9"":0,""SDS10"":3,""SDS11"":1,""SDS12"":1,""SDS14"":0,""SDS16"":1,""SDS17"":1,""SDS18"":0,""SDS20"":1}","{""trialStart"":2384004.5,""SDS2"":10883.59999999404,""SDS3"":15278.70000000298,""SDS5"":20747.79999999702,""SDS6"":28290.90000000596,""SDS7"":45291.20000000298,""SDS8"":42601.5,""Catch"":50797.20000000298,""SDS9"":58692,""SDS10"":61368.79999999702,""SDS11"":67025.79999999702,""SDS12"":70296.29999999702,""SDS14"":75980.20000000298,""SDS16"":79626.20000000298,""SDS17"":82162.79999999702,""SDS18"":86265.09999999404,""SDS20"":89063.79999999702}","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15]",6vshFtP68NOBGHf5OCNZMBV6yRV2,,65101adae9f0b22a17c5af61,23:48:59,27/03/2024
5805.29999999702,"<p style=""font-size: 2.0rem"">In the next short questionnaire, the instructions are:<br><br><br></p><p style=""font-size: 2.2rem; line-height: 1.3; color: #000080""> You will see a list of statements which can be used to describe how people feel.
Below each statement are four options which indicate how often each statement
is true of you. Please read each statement carefully and select the option which best indicates
how often, <b>in general</b>, the statement is true of you.</p><br><br><br><p style=""font-size: 2.0rem""> Thank you for your continued attention and focus!</p><br><br><br>",0,survey,STICSA,6vshFtP68NOBGHf5OCNZMBV6yRV2,html-button-response,102,661937,0.0-40.0-2.0-1.0-0.0,,,,,,65101adae9f0b22a17c5af61,23:48:59,27/03/2024
,,,survey,STICSA,6vshFtP68NOBGHf5OCNZMBV6yRV2,lmdlab-survey-likert,103,711904,0.0-40.0-2.0-1.0-1.0,"{""STICSA2"":1,""STICSA6"":2,""STICSA7"":1,""STICSA8"":1,""STICSA12"":1,""STICSA14"":1,""Catch"":3,""STICSA15"":0,""STICSA18"":1,""STICSA20"":2,""STICSA21"":0}","{""trialStart"":2502521.400000006,""STICSA2"":14229.39999999106,""STICSA6"":13197.89999999106,""STICSA7"":18138.5,""STICSA8"":19813.5,""STICSA12"":21409.39999999106,""STICSA14"":23312.39999999106,""Catch"":25174.59999999404,""STICSA15"":27216.59999999404,""STICSA18"":47407.09999999404,""STICSA20"":39316.59999999404,""STICSA21"":42159.19999998808}","[0,1,2,3,4,5,6,7,8,9,10]",6vshFtP68NOBGHf5OCNZMBV6yRV2,,65101adae9f0b22a17c5af61,23:48:59,27/03/2024
1415.7000000029802,"<p style=""font-size: 2.0rem"">In the next short questionnaire, the instructions are:<br><br><br></p><p style=""font-size: 2.2rem; line-height: 1.3; color: #000080""> Below is a list of feelings, sensations, problems, and experiences that people sometimes have.
Read each item and then choose the response that best describes how much you have felt or
experienced things this way during the <b>past week, including today</b>.</p><br><br><br><p style=""font-size: 2.0rem""> Thank you for your continued attention and focus!</p><br><br><br>",0,survey,MASQ_7,6vshFtP68NOBGHf5OCNZMBV6yRV2,html-button-response,104,713322,0.0-40.0-2.0-2.0-0.0,,,,,,65101adae9f0b22a17c5af61,23:48:59,27/03/2024
,,,survey,MASQ_7,6vshFtP68NOBGHf5OCNZMBV6yRV2,lmdlab-survey-likert,105,768574,0.0-40.0-2.0-2.0-1.0,"{""MASQ1"":0,""MASQ5"":3,""MASQ9"":0,""MASQ11"":3,""MASQ15"":0,""MASQ19"":0,""MASQ23"":0,""MASQ25"":0,""HADS2"":4,""HADS6"":2}","{""trialStart"":2553907.299999997,""MASQ1"":6286,""MASQ5"":11144.40000000596,""MASQ9"":28494.60000000894,""MASQ11"":21473,""MASQ15"":29924.5,""MASQ19"":35468.5,""MASQ23"":36983.29999999702,""MASQ25"":40871.60000000894,""HADS2"":49046.90000000596,""HADS6"":53263.79999999702}","[0,1,2,3,4,5,6,7,8,9]",6vshFtP68NOBGHf5OCNZMBV6yRV2,,65101adae9f0b22a17c5af61,23:48:59,27/03/2024
1263.8999999910593,"<p style=""font-size: 2.0rem"">In the next short questionnaire, the instructions are:<br><br><br></p><p style=""font-size: 2.2rem; line-height: 1.3; color: #000080""> For each question, choose the answer that best describes yourthoughts, feelings, and actions during the <b>past 4 weeks</b>.</p><br><br><br><p style=""font-size: 2.0rem""> Thank you for your continued attention and focus!</p><br><br><br>",0,survey,AES,6vshFtP68NOBGHf5OCNZMBV6yRV2,html-button-response,106,769840,0.0-40.0-2.0-3.0-0.0,,,,,,65101adae9f0b22a17c5af61,23:48:59,27/03/2024
,,,survey,AES,6vshFtP68NOBGHf5OCNZMBV6yRV2,lmdlab-survey-likert,107,869035,0.0-40.0-2.0-3.0-1.0,"{""AES1"":0,""AES2"":0,""AES3"":0,""AES4"":1,""AES5"":1,""AES6"":3,""AES7"":1,""AES8"":1,""Catch"":0,""AES9"":0,""AES10"":0,""AES11"":0,""AES12"":1,""AES13"":1,""AES14"":1,""AES15"":1,""AES16"":0,""AES17"":1,""AES18"":0,""FSS9"":3}","{""trialStart"":2610424.799999997,""AES1"":3231.9000000059605,""AES2"":5495.600000008941,""AES3"":12649.79999999702,""AES4"":17608.40000000596,""AES5"":21230.40000000596,""AES6"":24100,""AES7"":29456.60000000894,""AES8"":42593.70000000298,""Catch"":41083.79999999702,""AES9"":45631.90000000596,""AES10"":50558.60000000894,""AES11"":56882,""AES12"":64553.29999999702,""AES13"":68024.10000000894,""AES14"":70496.29999999702,""AES15"":76013.79999999702,""AES16"":87202.70000000298,""AES17"":80688.60000000894,""AES18"":84793.70000000298,""FSS9"":97024.5}","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19]",6vshFtP68NOBGHf5OCNZMBV6yRV2,,65101adae9f0b22a17c5af61,23:48:59,27/03/2024
3070.300000011921,"<p style=""font-size: 2.5rem"">In the next short questionnaire, the instructions are:<br><br><br></p><p style=""font-size: 2.2rem; line-height: 1.3; color: #000080""> For each question below, please select the option that describes you the best.</p><br><br><br><p style=""font-size: 2.0rem""> Thank you for your continued attention and focus!</p><br><br><br>",0,survey,HPS,6vshFtP68NOBGHf5OCNZMBV6yRV2,html-button-response,108,872107,0.0-40.0-2.0-4.0-0.0,,,,,,65101adae9f0b22a17c5af61,23:48:59,27/03/2024
,,,survey,HPS,6vshFtP68NOBGHf5OCNZMBV6yRV2,lmdlab-survey-likert,109,947204,0.0-40.0-2.0-4.0-1.0,"{""hps1"":4,""hps2"":0,""hps3"":0,""hps4"":0,""hps5"":4,""hps6"":3,""hps7"":2,""hps8"":1,""hps9"":1,""hps10"":4,""hps11"":1,""hps12"":2}","{""trialStart"":2712692.299999997,""hps1"":4539.600000008941,""hps2"":11704.79999999702,""hps3"":14931.10000000894,""hps4"":19497,""hps5"":22689,""hps6"":26973.70000000298,""hps7"":36934.90000000596,""hps8"":64247.10000000894,""hps9"":59893.70000000298,""hps10"":57654.10000000894,""hps11"":68137.10000000894,""hps12"":72193.60000000894}","[0,1,2,3,4,5,6,7,8,9,10,11]",6vshFtP68NOBGHf5OCNZMBV6yRV2,,65101adae9f0b22a17c5af61,23:48:59,27/03/2024
4542.4000000059605,"<p style='font-size: 42px; color: white;'>Great work! Please take a break.<br><br><br><br><i>(For example, stand up, stretch, get some water)</i><br><br><br><br><br>When you are ready, press the button<br><br>to start the next section.</p><br><br><br><br>",0,survey,rest,6vshFtP68NOBGHf5OCNZMBV6yRV2,lmdlab-rest-trial-limit,110,953252,0.0-40.0-3.0,,,,,0.0,65101adae9f0b22a17c5af61,23:48:59,27/03/2024
5235.79999999702,"<p style=""font-size: 2.0rem"">In the next short questionnaire, the instructions are:<br><br><br></p><p style=""font-size: 2.2rem; line-height: 1.3; color: #000080""> Over the <u>last two weeks</u>, how often have you been bothered by any of the following problems?</p><br><br><br><p style=""font-size: 2.0rem""> Thank you for your continued attention and focus!</p><br><br><br>",0,survey,PHQ9,6vshFtP68NOBGHf5OCNZMBV6yRV2,html-button-response,111,958489,0.0-40.0-4.0-0.0-0.0,,,,,,65101adae9f0b22a17c5af61,23:48:59,27/03/2024
